trial,validation_mse,unseen_pearson,unseen_spearman,best_epoch,conv1_filters,conv1_kernel,conv1_dropout,conv1_pool,conv2_filters,conv2_kernel,conv2_dropout,conv2_pool,conv3_filters,conv3_kernel,conv3_dropout,conv3_pool,dense0_units,dense0_dropout,dense1_units,dense1_dropout,dense2_units,dense2_dropout,learning_rate,batch_size
30,63.781314849853516,0.7784376740455627,0.786480992156079,96,80,4,0.4895911699954558,2,80,6,0.4555450893052435,3,48,6,0.4904188067766913,2,80,0.38067365941895026,128,0.2612646270282276,96,0.31515290160409287,0.0003740068022360229,256
31,60.94194030761719,0.787046492099762,0.7943395297398127,42,64,3,0.49104294397509574,2,80,6,0.2623674227568432,3,64,6,0.23409342959705612,2,128,0.4361796439487916,64,0.19674543975142933,80,0.2387317263694215,0.00022897081383736176,32
32,60.60460662841797,0.7885951399803162,0.7970562621087321,92,64,3,0.4954262165436497,2,64,6,0.2936073786722384,3,48,6,0.18751469598185413,2,112,0.3888077843919476,48,0.1637481939054125,80,0.3828005282011709,0.00011365933749668315,32
33,59.494869232177734,0.7928420901298523,0.7999012849838056,87,48,3,0.42041668987333897,2,96,6,0.32056096990155875,3,64,6,0.21155438564360443,2,144,0.4793652844286905,80,0.20350701354418385,64,0.24651687385442184,0.0001929720995475309,64
34,64.06672668457031,0.779051661491394,0.7869840399999534,95,80,3,0.4674153676236992,2,32,6,0.25035643165023475,3,32,8,0.27462563254715433,2,128,0.3321216053542514,64,0.17466277607709305,96,0.1625975279863531,6.027841113616049e-05,32
35,61.17598342895508,0.7843368649482727,0.7909769713871776,67,48,3,0.4027102322044035,2,64,6,0.33358862394510835,3,64,6,0.1471331825181692,2,112,0.4426791811454557,80,0.2934983159779409,112,0.30720385416328483,0.0004896825230249966,128
36,59.88705062866211,0.7961328625679016,0.803466126800626,91,64,3,0.4419161660146846,2,80,5,0.14493020868253637,2,32,6,0.3552653099037659,2,144,0.47628655571458534,48,0.15110488759779384,80,0.18660878432400424,0.00011954191364106772,32
37,61.532936096191406,0.7798493504524231,0.7879622879394741,37,48,3,0.46796524760554753,2,128,6,0.21067190369593825,3,64,8,0.18437587238005812,2,128,0.40856402426096716,96,0.18807976365602744,64,0.3585808646101482,0.00031284096476485676,32
38,70.50064849853516,0.7558038234710693,0.766488505381073,100,80,2,0.11135822242903745,2,112,5,0.3753790965347446,3,48,6,0.2251593751545955,3,144,0.3076941171724359,112,0.127296683387112,96,0.12919591401555544,0.00017555480004526413,500
39,60.30684280395508,0.7915284633636475,0.7986048878100586,94,96,3,0.3864571062791229,3,48,6,0.23623899471365783,2,64,6,0.25275816193274386,2,144,0.348507745883876,112,0.23388678413661074,80,0.2608499292710482,8.678035160683594e-05,32
40,97.61920166015625,0.6635847091674805,0.6724275119685257,100,64,2,0.32335568747538246,2,96,6,0.28678286241235335,3,16,6,0.29590273271726175,2,128,0.4364222190085749,80,0.21603791994498994,64,0.2180389713105172,2.301240629767226e-05,128
41,59.736446380615234,0.7920325994491577,0.798862012239219,87,48,3,0.41561282612980316,2,96,6,0.3150297715849483,3,64,6,0.2097587821806258,2,144,0.48160596775798165,80,0.20338418939000052,64,0.2382800902366821,0.0002099837463327104,64
42,59.729393005371094,0.7903830409049988,0.7974279436468175,95,48,3,0.42867268627364535,2,112,6,0.32573674630828947,3,64,6,0.23740397340148855,2,144,0.4628300185285703,64,0.1801887836245856,64,0.29032501051274784,0.0001515914000216873,64
43,60.96320343017578,0.786410927772522,0.7932619348401581,69,64,3,0.47784847216734405,2,96,6,0.35216791992500784,3,80,6,0.16069535511188282,2,160,0.48197921972308644,80,0.2514423114456343,32,0.17405263128680676,0.00027642985797116207,64
44,61.260772705078125,0.7834100127220154,0.7905009142015725,41,48,3,0.44820769422689155,2,80,6,0.3866312863415885,3,48,6,0.19978790362069526,2,128,0.49777121694470333,96,0.2083817628083912,80,0.33620630351695785,0.0008375676735805035,64
45,61.00537109375,0.7807669043540955,0.7889860639859102,49,48,3,0.4999464385413481,2,112,6,0.19562248298930995,3,96,7,0.42202143176668105,3,112,0.40891209542287743,64,0.14966505225130033,48,0.25774789142403004,0.0005263093138494337,64
46,59.69412612915039,0.7897262573242188,0.7981190879421758,57,80,4,0.39670480720402523,2,96,5,0.12928145211342223,2,64,6,0.25839100424935857,2,144,0.4548343305439532,80,0.11953248047725545,64,0.19783496668052672,0.00019806480305525404,32
47,81.27230072021484,0.7205395698547363,0.7314606958181212,100,64,2,0.36304160707715855,3,64,4,0.27012696707361855,3,80,6,0.2159317538422273,2,160,0.4272373084495958,96,0.42847405913183123,96,0.31324730265535927,0.0001038254727909133,500
48,61.49068069458008,0.7901681065559387,0.7970458309411036,100,64,3,0.3388090414025704,2,96,6,0.17201026087434726,3,48,8,0.13718544015766182,3,48,0.3748390760680258,80,0.23337720675069196,80,0.22759038397182876,0.00014668186666051396,32
49,60.693538665771484,0.7883247137069702,0.7958985758592271,100,48,4,0.41811736074594685,2,80,6,0.29286766625925753,2,96,7,0.11921143567705422,2,112,0.21962245317347057,112,0.15646310222494975,64,0.3885884808289177,7.851041073193846e-05,32
50,64.43534851074219,0.7792576551437378,0.7873885941359363,93,80,3,0.45538314517716094,2,112,4,0.2559035647851302,3,80,6,0.17900369348576106,3,128,0.24597287035183807,96,0.18079080351789825,112,0.4160881110841996,0.0002567376837441142,256
51,60.154136657714844,0.790611743927002,0.7982457309143066,62,64,3,0.15305950331197282,2,80,6,0.23521968365066862,3,80,6,0.16626154170351068,2,144,0.44614414545299785,64,0.20678359037389513,48,0.2751986570511045,0.00017612219753022744,32
52,60.175323486328125,0.7882718443870544,0.7964185331964565,57,64,3,0.2838491370410329,2,80,6,0.24946881189208284,3,80,6,0.1977245166779949,2,144,0.4582754809237127,48,0.16948200232067845,48,0.25087139277202647,0.00044034316916764923,32
53,58.75971603393555,0.7957571744918823,0.8023183515842112,83,80,3,0.18925534916369688,2,64,6,0.2835513994674597,3,96,6,0.22941772602156008,2,144,0.4760873042747675,64,0.13638132096867436,32,0.2786019073380114,0.00016910224727878623,32
54,60.7426872253418,0.7893590331077576,0.7964683693945624,100,80,3,0.19201387694906286,2,64,6,0.3348857592501077,3,96,6,0.23990099448362354,2,128,0.4857283500901424,64,0.10289043668446415,32,0.27680479427630467,0.0001384379167733428,32
55,61.149696350097656,0.7889391183853149,0.7951186040445358,69,80,3,0.26441459130950734,3,48,6,0.28017134367095964,3,96,6,0.22418624874969517,2,160,0.47446814642288965,80,0.13973929227093668,32,0.29902807200631615,0.00029147144873419207,64
56,60.687259674072266,0.7861705422401428,0.7949959442375226,92,96,4,0.2165816910404494,2,64,6,0.3602903019796553,3,96,6,0.2884602109652994,2,128,0.42205961651754376,96,0.22060104032965766,96,0.3267050799131873,7.127124002834197e-05,32
57,61.97991180419922,0.7817051410675049,0.7894238668161006,99,48,2,0.18378870525443303,2,64,6,0.3011207965736526,2,96,7,0.26047520631985477,2,144,0.19412863080715054,64,0.11504041427771454,80,0.35008525213385755,5.04334903893114e-05,32
